Sample	File1	File2
CTauKeS__702	/jbod1/seqAfrica/raw/disk2/210123_SEQ041_FP200000263TL_L01_SP2101080415/FP200000263TL_L01_574_1.fq.gz	/jbod1/seqAfrica/raw/disk2/210123_SEQ041_FP200000263TL_L01_SP2101080415/FP200000263TL_L01_574_2.fq.gz
CTauKeS__704	/jbod1/seqAfrica/raw/disk2/210123_SEQ041_FP200000263TL_L01_SP2101080416/FP200000263TL_L01_575_1.fq.gz	/jbod1/seqAfrica/raw/disk2/210123_SEQ041_FP200000263TL_L01_SP2101080416/FP200000263TL_L01_575_2.fq.gz
CTauKeS__705	/jbod1/seqAfrica/raw/disk2/210123_SEQ041_FP200000263TL_L01_SP2101080417/FP200000263TL_L01_576_1.fq.gz	/jbod1/seqAfrica/raw/disk2/210123_SEQ041_FP200000263TL_L01_SP2101080417/FP200000263TL_L01_576_2.fq.gz
CTauKeS__706	/jbod1/seqAfrica/raw/disk4/210127_SEQ044_FP200000258BR_L01_SP2101080418/FP200000258BR_L01_577_1.fq.gz	/jbod1/seqAfrica/raw/disk4/210127_SEQ044_FP200000258BR_L01_SP2101080418/FP200000258BR_L01_577_2.fq.gz
CTauKeS__707	/jbod1/seqAfrica/raw/disk4/210127_SEQ044_FP200000258BR_L01_SP2101080419/FP200000258BR_L01_578_1.fq.gz	/jbod1/seqAfrica/raw/disk4/210127_SEQ044_FP200000258BR_L01_SP2101080419/FP200000258BR_L01_578_2.fq.gz
CTauKeW__638	/jbod1/seqAfrica/raw/disk4/210127_SEQ044_FP200000258BR_L01_SP2101080420/FP200000258BR_L01_579_1.fq.gz	/jbod1/seqAfrica/raw/disk4/210127_SEQ044_FP200000258BR_L01_SP2101080420/FP200000258BR_L01_579_2.fq.gz
CTauKeW__640	/jbod1/seqAfrica/raw/disk4/210127_SEQ044_FP200000258BR_L01_SP2101080421/FP200000258BR_L01_580_1.fq.gz	/jbod1/seqAfrica/raw/disk4/210127_SEQ044_FP200000258BR_L01_SP2101080421/FP200000258BR_L01_580_2.fq.gz
CTauKeW__641	/jbod1/seqAfrica/raw/disk4/210123_SEQ043_FP200000264TL_L01_SP2101080422/FP200000264TL_L01_581_1.fq.gz	/jbod1/seqAfrica/raw/disk4/210123_SEQ043_FP200000264TL_L01_SP2101080422/FP200000264TL_L01_581_2.fq.gz
CTauKeW__642	/jbod1/seqAfrica/raw/disk4/210123_SEQ043_FP200000264TL_L01_SP2101080423/FP200000264TL_L01_582_1.fq.gz	/jbod1/seqAfrica/raw/disk4/210123_SEQ043_FP200000264TL_L01_SP2101080423/FP200000264TL_L01_582_2.fq.gz
CTauKeW__643	/jbod1/seqAfrica/raw/disk2/210123_SEQ041_FP200000263TL_L01_SP2101080424/FP200000263TL_L01_583_1.fq.gz	/jbod1/seqAfrica/raw/disk2/210123_SEQ041_FP200000263TL_L01_SP2101080424/FP200000263TL_L01_583_2.fq.gz
CTauKeW__644	/jbod1/seqAfrica/raw/disk4/210123_SEQ043_FP200000264TL_L01_SP2101080425/FP200000264TL_L01_584_1.fq.gz	/jbod1/seqAfrica/raw/disk4/210123_SEQ043_FP200000264TL_L01_SP2101080425/FP200000264TL_L01_584_2.fq.gz
CTauKeW__645	/jbod1/seqAfrica/raw/disk2/210123_SEQ041_FP200000263TL_L01_SP2101080426/FP200000263TL_L01_585_1.fq.gz	/jbod1/seqAfrica/raw/disk2/210123_SEQ041_FP200000263TL_L01_SP2101080426/FP200000263TL_L01_585_2.fq.gz
CTauKeW__646	/jbod1/seqAfrica/raw/disk4/210123_SEQ043_FP200000264TL_L01_SP2101080427/FP200000264TL_L01_586_1.fq.gz	/jbod1/seqAfrica/raw/disk4/210123_SEQ043_FP200000264TL_L01_SP2101080427/FP200000264TL_L01_586_2.fq.gz
CTauKeW__648	/jbod1/seqAfrica/raw/disk4/210123_SEQ043_FP200000264TL_L01_SP2101080428/FP200000264TL_L01_587_1.fq.gz	/jbod1/seqAfrica/raw/disk4/210123_SEQ043_FP200000264TL_L01_SP2101080428/FP200000264TL_L01_587_2.fq.gz
CTauKeW__649	/jbod1/seqAfrica/raw/disk2/210123_SEQ041_FP200000263TL_L01_SP2101080429/FP200000263TL_L01_588_1.fq.gz	/jbod1/seqAfrica/raw/disk2/210123_SEQ041_FP200000263TL_L01_SP2101080429/FP200000263TL_L01_588_2.fq.gz
CTauKeS__709	/jbod1/seqAfrica/raw/disk4/210302_SEQ023_FP100001991BR_L01_SP2101280158/FP100001991BR_L01_102_1.fq.gz	/jbod1/seqAfrica/raw/disk4/210302_SEQ023_FP100001991BR_L01_SP2101280158/FP100001991BR_L01_102_2.fq.gz
CTauKeS__710	/jbod1/seqAfrica/raw/disk4/210302_SEQ023_FP100001991BR_L01_SP2101280159/FP100001991BR_L01_103_1.fq.gz	/jbod1/seqAfrica/raw/disk4/210302_SEQ023_FP100001991BR_L01_SP2101280159/FP100001991BR_L01_103_2.fq.gz
CTauKeS__711	/jbod1/seqAfrica/raw/disk4/210302_SEQ023_FP100001991BR_L01_SP2101280160/FP100001991BR_L01_104_1.fq.gz	/jbod1/seqAfrica/raw/disk4/210302_SEQ023_FP100001991BR_L01_SP2101280160/FP100001991BR_L01_104_2.fq.gz
CTauKeS__712	/jbod1/seqAfrica/raw/disk1/210219_SEQ014_FP100002001BL_L01_SP2101280161/FP100002001BL_L01_121_1.fq.gz	/jbod1/seqAfrica/raw/disk1/210219_SEQ014_FP100002001BL_L01_SP2101280161/FP100002001BL_L01_121_2.fq.gz
CTauKeS__713	/jbod1/seqAfrica/raw/disk1/210219_SEQ014_FP100002001BL_L01_SP2101280162/FP100002001BL_L01_122_1.fq.gz	/jbod1/seqAfrica/raw/disk1/210219_SEQ014_FP100002001BL_L01_SP2101280162/FP100002001BL_L01_122_2.fq.gz
CTauKeS__714	/jbod1/seqAfrica/raw/disk1/210219_SEQ014_FP100002001BL_L01_SP2101280163/FP100002001BL_L01_123_1.fq.gz	/jbod1/seqAfrica/raw/disk1/210219_SEQ014_FP100002001BL_L01_SP2101280163/FP100002001BL_L01_123_2.fq.gz
CTauKeS__715	/jbod1/seqAfrica/raw/disk4/210130_SEQ022_FP100002218TR_L01_SP2101080430/FP100002218TR_L01_589_1.fq.gz	/jbod1/seqAfrica/raw/disk4/210130_SEQ022_FP100002218TR_L01_SP2101080430/FP100002218TR_L01_589_2.fq.gz
CTauKeS__716	/jbod1/seqAfrica/raw/theLost7/OBDWLZ-202012125D-01/2021-04-22/210130_SEQ022_FP100002218TR_L01_SP2101080431/FP100002218TR_L01_590_1.fq.gz	/jbod1/seqAfrica/raw/theLost7/OBDWLZ-202012125D-01/2021-04-22/210130_SEQ022_FP100002218TR_L01_SP2101080431/FP100002218TR_L01_590_2.fq.gz
